,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
265,Kapaa,40,US,09/04/19,74,22.08,-159.32,82.4,5.1
266,Porto de Moz,71,BR,09/04/19,40,-1.75,-52.24,95.63000000000005,2.8
267,Mataura,100,NZ,09/04/19,96,-46.19,168.86,46.004000000000055,1.73
268,Lavrentiya,94,RU,09/04/19,97,65.58,-170.99,43.610000000000085,4.39
269,Mar del Plata,0,AR,09/04/19,39,-46.43,-67.52,38.39000000000002,2.07
270,Ushuaia,0,AR,09/04/19,60,-54.81,-68.31,41.0,10.8
271,Torbay,75,CA,09/04/19,77,47.66,-52.73,71.00600000000003,4.1
272,Nikolskoye,20,RU,09/04/19,72,59.7,30.79,62.99600000000005,3.0
273,Mar del Plata,0,AR,09/04/19,39,-46.43,-67.52,38.39000000000002,2.07
274,Vila Velha,20,BR,09/04/19,62,-3.71,-38.6,86.0,8.2
275,Salym,60,RU,09/04/19,98,60.06,71.48,45.41000000000008,1.72
276,Llandrindod Wells,72,GB,09/04/19,65,52.24,-3.38,60.00800000000001,4.02
277,Barrow,85,AR,09/04/19,49,-38.31,-60.23,47.21000000000008,5.48
278,Chuy,48,UY,09/04/19,59,-33.69,-53.46,48.650000000000006,6.67
279,Nome,40,US,09/04/19,41,30.04,-94.42,95.0,3.6
280,Serzhen-Yurt,0,RU,09/04/19,53,43.12,45.98,71.6,4.0
281,Areka,90,ET,09/04/19,89,7.07,37.71,66.47000000000006,1.1
282,Ushuaia,0,AR,09/04/19,60,-54.81,-68.31,41.0,10.8
283,Puerto Ayora,40,EC,09/04/19,65,-0.74,-90.35,78.80000000000001,9.8
284,Maniitsoq,100,GL,09/04/19,87,65.42,-52.9,40.73000000000004,10.63
285,Ouadda,83,CF,09/04/19,96,8.07,22.4,69.35,1.45
286,Ambon,0,FR,09/04/19,48,47.55,-2.56,71.00600000000003,4.1
287,Bhinmal,99,IN,09/04/19,74,25.01,72.27,85.55000000000001,5.97
288,Mataura,100,NZ,09/04/19,96,-46.19,168.86,46.004000000000055,1.73
289,Lorengau,94,PG,09/04/19,87,-2.02,147.27,78.53000000000004,5.14
290,Vila Franca do Campo,20,PT,09/04/19,64,37.72,-25.43,73.4,7.2
291,Tiznit,0,MA,09/04/19,85,29.7,-9.73,68.09000000000003,2.62
292,Mataura,100,NZ,09/04/19,96,-46.19,168.86,46.004000000000055,1.73
293,Torbay,75,CA,09/04/19,77,47.66,-52.73,71.00600000000003,4.1
294,Mataura,100,NZ,09/04/19,96,-46.19,168.86,46.004000000000055,1.73
295,Chenzhou,0,CN,09/04/19,89,25.81,113.03,72.05000000000001,0.93
296,Rikitea,95,PF,09/04/19,71,-23.12,-134.97,72.95,3.31
297,Mataura,100,NZ,09/04/19,96,-46.19,168.86,46.004000000000055,1.73
298,Bluff,0,AU,09/04/19,28,-23.58,149.07,60.71000000000008,1.52
299,Lahij,33,YE,09/04/19,32,13.06,44.88,95.63000000000005,4.21
300,Tamworth,0,AU,09/04/19,52,-31.09,150.93,46.4,1.97
301,Ponta Delgada,20,PT,09/04/19,64,37.73,-25.67,73.4,7.2
302,Ushuaia,0,AR,09/04/19,60,-54.81,-68.31,41.0,10.8
303,Tygda,100,RU,09/04/19,98,53.11,126.33,53.150000000000006,2.28
304,Winona,75,CA,09/04/19,68,43.21,-79.65,71.00600000000003,5.1
305,Kapaa,40,US,09/04/19,74,22.08,-159.32,82.4,5.1
306,Barrow,85,AR,09/04/19,49,-38.31,-60.23,47.21000000000008,5.48
307,Salinas,90,US,09/04/19,77,36.67,-121.66,87.99800000000002,1.5
308,Punta Arenas,75,CL,09/04/19,69,-53.16,-70.91,39.00200000000008,2.24
309,Pangnirtung,75,CA,09/04/19,93,66.15,-65.72,44.6,5.1
310,Rikitea,95,PF,09/04/19,71,-23.12,-134.97,72.95,3.31
311,Fortuna,1,US,09/04/19,72,40.6,-124.16,73.00400000000005,2.6
312,Nanortalik,95,GL,09/04/19,80,60.14,-45.24,43.070000000000064,4.51
313,Rikitea,95,PF,09/04/19,71,-23.12,-134.97,72.95,3.31
314,Nishihara,90,JP,09/04/19,88,35.74,139.53,75.99199999999999,1.5
315,Kahului,40,US,09/04/19,62,20.89,-156.47,84.2,5.1
316,Rio Grande,20,BR,09/04/19,31,-32.03,-52.1,60.8,8.2
317,Rio Grande,20,BR,09/04/19,31,-32.03,-52.1,60.8,8.2
318,Bluff,0,AU,09/04/19,28,-23.58,149.07,60.71000000000008,1.52
319,Qaanaaq,34,GL,09/04/19,45,77.48,-69.36,34.25,2.0
320,Kirkuk,0,IQ,09/04/19,19,35.47,44.4,86.99000000000002,3.44
321,Atuona,74,PF,09/04/19,74,-9.8,-139.03,78.53000000000004,3.92
