API Call Date, API Call Time,  Running Count, City Name, Return Code
2019-09-04,13:00:01.396817,320,lorengau,200
2019-09-04,13:00:01.574900,321,vila franca do campo,200
2019-09-04,13:00:01.860987,322,tiznit,200
2019-09-04,13:00:02.205779,323,mataura,200
2019-09-04,13:00:02.330731,324,torbay,200
2019-09-04,13:00:02.460455,325,mataura,200
2019-09-04,13:00:02.585764,326,chenzhou,200
2019-09-04,13:00:02.805085,327,rikitea,200
2019-09-04,13:00:02.930055,328,mataura,200
2019-09-04,13:00:03.048913,329,attawapiskat,404
2019-09-04,13:00:03.216239,330,bluff,200
2019-09-04,13:00:03.326195,331,lahij,200
2019-09-04,13:00:03.552987,332,tamworth,200
2019-09-04,13:00:03.808356,333,ponta delgada,200
2019-09-04,13:00:03.936719,334,ushuaia,200
2019-09-04,13:00:04.167837,335,tygda,200
2019-09-04,13:00:04.399685,336,winona,200
2019-09-04,13:00:08.814280,337,sentyabrskiy,404
2019-09-04,13:00:08.954643,338,kapaa,200
2019-09-04,13:00:09.084844,339,chiali,404
2019-09-04,13:00:09.213964,340,barrow,200
2019-09-04,13:00:09.331727,341,salinas,200
2019-09-04,13:00:13.762386,342,punta arenas,200
2019-09-04,13:00:13.887368,343,pangnirtung,200
2019-09-04,13:00:14.111805,344,rikitea,200
2019-09-04,13:00:14.236798,345,fortuna,200
2019-09-04,13:00:14.444260,346,nanortalik,200
2019-09-04,13:00:14.569154,347,rikitea,200
2019-09-04,13:00:14.763651,348,illoqqortoormiut,404
2019-09-04,13:00:14.888630,349,nishihara,200
2019-09-04,13:00:17.880969,350,kahului,200
2019-09-04,13:00:18.129895,351,rio grande,200
2019-09-04,13:00:20.043781,352,rio grande,200
2019-09-04,13:00:20.163005,353,bluff,200
2019-09-04,13:00:20.287202,354,qaanaaq,200
2019-09-04,13:00:20.404075,355,kirkuk,200
2019-09-04,13:00:20.623290,356,atuona,200
2019-09-04,13:00:20.748323,357,stykkisholmur,200
2019-09-04,13:00:20.956164,358,cidreira,200
2019-09-04,13:00:21.258269,359,haicheng,200
2019-09-04,13:00:21.505208,360,abaza,200
2019-09-04,13:00:21.760716,361,mezen,200
2019-09-04,13:00:21.981028,362,vaini,200
2019-09-04,13:00:22.089460,363,jomalig,404
2019-09-04,13:00:22.220852,364,vaini,200
2019-09-04,13:00:22.336937,365,blagodatnoye,200
2019-09-04,13:00:22.554542,366,husavik,200
2019-09-04,13:00:22.825245,367,garowe,200
2019-09-04,13:00:23.107167,368,butaritari,200
2019-09-04,13:00:23.216520,369,isla mujeres,200
2019-09-04,13:00:23.438310,370,belushya guba,404
2019-09-04,13:00:23.683226,371,touros,200
2019-09-04,13:00:23.904393,372,sola,200
2019-09-04,13:00:24.286600,373,pisco,200
2019-09-04,13:00:24.411632,374,castro,200
2019-09-04,13:00:24.542235,375,buenos aires,200
2019-09-04,13:00:24.682837,376,ushuaia,200
2019-09-04,13:00:24.807477,377,rikitea,200
2019-09-04,13:00:24.932827,378,punta arenas,200
2019-09-04,13:00:25.053151,379,vila franca do campo,200
2019-09-04,13:00:25.168894,380,taolanaro,404
2019-09-04,13:00:25.294413,381,hilo,200
2019-09-04,13:00:25.401249,382,port elizabeth,200
2019-09-04,13:00:25.520990,383,sentyabrskiy,404
2019-09-04,13:00:25.635573,384,hay river,200
2019-09-04,13:00:25.758803,385,yerbogachen,200
2019-09-04,13:00:25.967913,386,attawapiskat,404
2019-09-04,13:00:26.102971,387,taolanaro,404
2019-09-04,13:00:26.220937,388,bengkulu,404
2019-09-04,13:00:26.568672,389,prince rupert,200
2019-09-04,13:00:26.781307,390,hobart,200
2019-09-04,13:00:26.901212,391,champerico,200
2019-09-04,13:00:27.133010,392,rikitea,200
2019-09-04,13:00:27.257685,393,xining,200
2019-09-04,13:00:27.530189,394,new norfolk,200
2019-09-04,13:00:27.639867,395,ushuaia,200
2019-09-04,13:00:27.772592,396,nanortalik,200
2019-09-04,13:00:27.897901,397,butaritari,200
2019-09-04,13:00:28.022237,398,rikitea,200
2019-09-04,13:00:28.131966,399,kapaa,200
2019-09-04,13:00:28.270423,400,luderitz,200
2019-09-04,13:00:28.704095,401,sarh,200
2019-09-04,13:00:28.845069,402,punta arenas,200
2019-09-04,13:00:28.971511,403,tenkodogo,200
2019-09-04,13:00:29.440940,404,zaria,200
2019-09-04,13:00:29.733778,405,nguru,200
2019-09-04,13:00:29.962209,406,altay,200
2019-09-04,13:00:30.235100,407,east london,200
2019-09-04,13:00:30.361459,408,dire,200
2019-09-04,13:00:30.984485,409,cape town,200
2019-09-04,13:00:31.109711,410,mandalgovi,200
2019-09-04,13:00:31.329251,411,kahului,200
2019-09-04,13:00:31.454346,412,coos bay,200
